SKU,Type,Category_L1,Category_L2,Vendor,Forecasted_Quantity,Forecast_Period,Rank
BMLNYX800897829926,NYX Professional Makeup,Beauty,Makeup,L'Oreal CPD,22,01/10/13,1
BMLNYX800897829926,NYX Professional Makeup,Beauty,Makeup,L'Oreal CPD,22,01/09/13,1
BMLNYX800897829926,NYX Professional Makeup,Beauty,Makeup,L'Oreal CPD,22,01/08/13,1
FT-061-MSIM,Home.Co Electronics,Fashion,Home.Co,Faiz Traders,74,01/10/13,2
FT-061-MSIM,Home.Co Electronics,Fashion,Home.Co,Faiz Traders,74,01/09/13,2
FT-061-MSIM,Home.Co Electronics,Fashion,Home.Co,Faiz Traders,73,01/08/13,2
BG0950,The Ordinary,Beauty,Skincare,Bagallery,78,01/08/13,3
BG0950,The Ordinary,Beauty,Skincare,Bagallery,79,01/09/13,3
BG0950,The Ordinary,Beauty,Skincare,Bagallery,80,01/10/13,3
BMLNYX800897829971,NYX Professional Makeup,Beauty,Makeup,L'Oreal CPD,170,01/09/13,4
BMLNYX800897829971,NYX Professional Makeup,Beauty,Makeup,L'Oreal CPD,168,01/08/13,4
BMLNYX800897829971,NYX Professional Makeup,Beauty,Makeup,L'Oreal CPD,172,01/10/13,4
swbag24201217948,Shein Bags,Shein,Bags,Bagallery,191,01/08/13,5
swbag24201217948,Shein Bags,Shein,Bags,Bagallery,195,01/09/13,5
swbag24201217948,Shein Bags,Shein,Bags,Bagallery,199,01/10/13,5
swear18210105151,Shein Jewellery,Shein,Accessories,Bagallery,223,01/08/13,6
swear18210105151,Shein Jewellery,Shein,Accessories,Bagallery,232,01/10/13,6
swear18210105151,Shein Jewellery,Shein,Accessories,Bagallery,227,01/09/13,6
BSCGAR8994993013852,Garnier Skincare,Beauty,Skincare,L'Oreal CPD,269,01/10/13,7
BSCGAR8994993013852,Garnier Skincare,Beauty,Skincare,L'Oreal CPD,265,01/09/13,7
BSCGAR8994993013852,Garnier Skincare,Beauty,Skincare,L'Oreal CPD,262,01/08/13,7
BMFNYX800897813727,NYX Professional Makeup,Beauty,Makeup,L'Oreal CPD,818,01/08/13,8
BMFNYX800897813727,NYX Professional Makeup,Beauty,Makeup,L'Oreal CPD,834,01/10/13,8
BMFNYX800897813727,NYX Professional Makeup,Beauty,Makeup,L'Oreal CPD,826,01/09/13,8
BMLNYX800897142896,NYX Professional Makeup,Beauty,Makeup,L'Oreal CPD,1084,01/10/13,9
BMLNYX800897142896,NYX Professional Makeup,Beauty,Makeup,L'Oreal CPD,1053,01/09/13,9
BMLNYX800897142896,NYX Professional Makeup,Beauty,Makeup,L'Oreal CPD,1027,01/08/13,9
swneck18210428733,Shein Jewellery,Shein,Accessories,Bagallery,1593,01/09/13,10
swneck18210428733,Shein Jewellery,Shein,Accessories,Bagallery,1595,01/10/13,10
swneck18210428733,Shein Jewellery,Shein,Accessories,Bagallery,1590,01/08/13,10
swear18200508222,Shein Jewellery,Shein,Accessories,Bagallery,1839,01/08/13,11
swear18200508222,Shein Jewellery,Shein,Accessories,Bagallery,1845,01/10/13,11
swear18200508222,Shein Jewellery,Shein,Accessories,Bagallery,1842,01/09/13,11
swear03200325522,Shein Jewellery,Shein,Accessories,Bagallery,1939,01/08/13,12
swear03200325522,Shein Jewellery,Shein,Accessories,Bagallery,2019,01/10/13,12
swear03200325522,Shein Jewellery,Shein,Accessories,Bagallery,1974,01/09/13,12
sW210611214601100,Shein Jewellery,Shein,Accessories,Bagallery,2071,01/10/13,13
sW210611214601100,Shein Jewellery,Shein,Accessories,Bagallery,2070,01/09/13,13
sW210611214601100,Shein Jewellery,Shein,Accessories,Bagallery,2065,01/08/13,13
sw2107129671103022,Shein Jewellery,Shein,Accessories,Bagallery,2228,01/10/13,14
sw2107129671103022,Shein Jewellery,Shein,Accessories,Bagallery,2224,01/09/13,14
sw2107129671103022,Shein Jewellery,Shein,Accessories,Bagallery,2221,01/08/13,14
BHMLOR3600523755974,L'Oreal Paris Haircare,Beauty,Haircare,L'Oreal CPD,2807,01/09/13,15
BHMLOR3600523755974,L'Oreal Paris Haircare,Beauty,Haircare,L'Oreal CPD,2831,01/10/13,15
BHMLOR3600523755974,L'Oreal Paris Haircare,Beauty,Haircare,L'Oreal CPD,2784,01/08/13,15
FT-0285in1HD,Home.Co Beauty tools,Fashion,Home.Co,Faiz Traders,3419,01/10/13,16
FT-0285in1HD,Home.Co Beauty tools,Fashion,Home.Co,Faiz Traders,3374,01/09/13,16
FT-0285in1HD,Home.Co Beauty tools,Fashion,Home.Co,Faiz Traders,3327,01/08/13,16
swneck18210105689,Shein Jewellery,Shein,Accessories,Bagallery,5227,01/10/13,17
swneck18210105689,Shein Jewellery,Shein,Accessories,Bagallery,5194,01/09/13,17
swneck18210105689,Shein Jewellery,Shein,Accessories,Bagallery,5165,01/08/13,17
BG2202,The Ordinary,Beauty,Skincare,Bagallery,5347,01/10/13,18
BG2202,The Ordinary,Beauty,Skincare,Bagallery,5300,01/09/13,18
BG2202,The Ordinary,Beauty,Skincare,Bagallery,5256,01/08/13,18
BSSCPD6923700977264,L'Oreal Paris Skincare,Beauty,Skincare,L'Oreal CPD,5567,01/10/13,19
BSSCPD6923700977264,L'Oreal Paris Skincare,Beauty,Skincare,L'Oreal CPD,5530,01/09/13,19
BSSCPD6923700977264,L'Oreal Paris Skincare,Beauty,Skincare,L'Oreal CPD,5498,01/08/13,19
BW1077,Beauty Tools,Beauty,Beauty Tools,Beauty Tools,6632,01/09/13,20
BW1077,Beauty Tools,Beauty,Beauty Tools,Beauty Tools,6697,01/10/13,20
BW1077,Beauty Tools,Beauty,Beauty Tools,Beauty Tools,6572,01/08/13,20
swbracele18200505348,Shein Jewellery,Shein,Accessories,Bagallery,6804,01/08/13,21
swbracele18200505348,Shein Jewellery,Shein,Accessories,Bagallery,6948,01/09/13,21
swbracele18200505348,Shein Jewellery,Shein,Accessories,Bagallery,6986,01/10/13,21
