sku,type,category_L1,category_L2
2197,Mendeez,Fashion,Western
2203,Mendeez,Fashion,Western
3273,Mendeez,Fashion,Western
4332,Candle Stands,Fashion,Western
4336,Home Décor,Fashion,Western
4488,.,Fashion,Western
4515,Bowls,Fashion,Western
4518,Bowls,Fashion,Western
4606,Puzzles,Fashion,Western
4609,Puzzles,Fashion,Western
4644,Plant Pots,Fashion,Western
4712,Mendeez,Fashion,Western
4810,Umbrellas,Fashion,Accessories
4819,Water Bottles,Fashion,Western
4832,Umbrellas,Fashion,Accessories
5002,.,Fashion,Western
5015,Water Bottles,Fashion,Western
5019,Water Bottles,Fashion,Western
5022,Water Bottles,Fashion,Western
5032,.,Fashion,Western
5033,Water Bottles,Fashion,Western
5034,Water Bottles,Fashion,Western
5037,.,Fashion,Western
5038,Water Bottles,Fashion,Western
5042,Vanity Trays,Fashion,Western
5043,Vanity Trays,Fashion,Western
5044,Vanity Trays,Fashion,Western
5045,Vanity Trays,Fashion,Western
5046,Vanity Trays,Fashion,Western
5047,Vanity Trays,Fashion,Western
5050,Water Bottles,Fashion,Western
5109,Hair Accessories,Fashion,Accessories
5131,Hair Accessories,Fashion,Accessories
5153,Bowls,Fashion,Western
5163,Outdoor Umbrellas & Sunshades,Fashion,Accessories
5216,Notebooks,Fashion,Accessories
5217,Notebooks,Fashion,Accessories
5218,Notebooks,Fashion,Accessories
5219,Notebooks,Fashion,Accessories
5220,Notebooks,Fashion,Accessories
5221,Notebooks,Fashion,Accessories
5223,Notebooks,Fashion,Accessories
5227,Hot Water Bottles,Fashion,Western
5228,Hot Water Bottles,Fashion,Western
5229,Hot Water Bottles,Fashion,Western
5230,Hot Water Bottles,Fashion,Western
5298,Travel Mugs,Fashion,Western
5301,Mugs & Cups,Fashion,Western
5302,Mugs & Cups,Fashion,Western
5333,Socks,Fashion,Western
5346,Socks,Fashion,Western
5353,.,Fashion,Accessories
5355,Sticky Notes,Fashion,Accessories
5356,Sticky Notes,Fashion,Accessories
5357,Sticky Notes,Fashion,Accessories
5358,.,Fashion,Accessories
5359,Sticky Notes,Fashion,Accessories
5361,Sticky Notes,Fashion,Accessories
5365,Hair Brushes,NULL,NULL
5415,Keychains,Fashion,Accessories
5416,Keychains,Fashion,Accessories
5418,Keychains,Fashion,Accessories
5421,Desk Organizers,Fashion,Western
5428,Notepads,Fashion,Accessories
5429,Notepads,Fashion,Accessories
5431,Notepads,Fashion,Accessories
5433,Desk Organizers,Fashion,Western
5438,Gel Pens,Fashion,Accessories
5442,Stationery Sets,Fashion,Accessories
5452,Tier Trays,Fashion,Western
5453,Tier Trays,Fashion,Western
5470,Home Décor,Fashion,Western
5471,.,Fashion,Western
5472,Home Décor,Fashion,Western
5484,Envelops,Fashion,Accessories
5492,Bowls,Fashion,Western
5499,Serving Dishes & Trays,Fashion,Western
5532,Plates,Fashion,Western
5536,.,Fashion,Western
5542,.,Fashion,Western
5546,Water Bottles,Fashion,Western
5549,.,Fashion,Western
5574,.,Fashion,Western
5593,Tier Trays,Fashion,Western
5598,Tier Trays,Fashion,Western
5613,Décor Accessories,Fashion,Western
5618,Décor Accessories,Fashion,Western
5619,Décor Accessories,Fashion,Western
5623,Water Bottles,Fashion,Western
5624,Water Bottles,Fashion,Western
5639,Keychains,Fashion,Accessories
5642,Keychains,Fashion,Accessories
5645,Keychains,Fashion,Accessories
6170,Mendeez,Fashion,Western
7953,LSM,Fashion,Eastern
8854,The Hijab Shop,Fashion,Eastern
8861,The Hijab Shop,Fashion,Eastern
9183,Naviforce,Fashion,Watches
10395,Saya Unstitched,Fashion,Eastern
10774,Mendeez T-Shirt,Fashion,Western
11316,Mendeez Accessories,Fashion,Western
11317,.,Fashion,Western
12181,Framesi,Beauty,Haircare
12272,Kryolan,Beauty,Makeup
12396,Janssen,Beauty,Skincare
12465,Janssen,Beauty,Skincare
12525,Gosh,Beauty,Makeup
12561,Framesi,Beauty,Haircare
12581,Shein Jewellery,Shein,Accessories
12652,Gosh,Beauty,Makeup
12665,Gosh,Beauty,Makeup
12810,Kryolan,Beauty,Makeup
12839,Kryolan,Beauty,Makeup
12840,Kryolan,Beauty,Makeup
12843,Kryolan,Beauty,Makeup
12925,Janssen,Beauty,Skincare
13161,ST London,Beauty,Makeup
13162,ST London,Beauty,Makeup
13164,ST London,Beauty,Makeup
13169,Janssen,Beauty,Skincare
13178,Janssen,Beauty,Skincare
13185,Janssen,Beauty,Skincare
13201,ST London,Beauty,Makeup
13205,ST London,Beauty,Makeup
13208,ST London,Beauty,Makeup
13211,ST London,Beauty,Makeup
13216,ST London,Beauty,Makeup
13234,ST London,Beauty,Makeup
13251,ST London,Beauty,Makeup
13252,ST London,Beauty,Makeup
13257,ST London,Beauty,Makeup
13258,ST London,Beauty,Makeup
13259,ST London,Beauty,Makeup
13260,ST London,Beauty,Makeup
13261,ST London,Beauty,Makeup
13262,ST London,Beauty,Makeup
13263,ST London,Beauty,Makeup
13264,ST London,Beauty,Makeup
13268,ST London,Beauty,Makeup
13269,ST London,Beauty,Makeup
13272,ST London,Beauty,Makeup
13273,ST London,Beauty,Makeup
13278,ST London,Beauty,Makeup
13287,ST London,Beauty,Makeup
13292,ST London,Beauty,Makeup
13293,ST London,Beauty,Makeup
13311,ST London,Beauty,Makeup
13313,ST London,Beauty,Makeup
13314,ST London,Beauty,Makeup
13316,ST London,Beauty,Makeup
13317,ST London,Beauty,Makeup
13319,ST London,Beauty,Makeup
13323,ST London,Beauty,Makeup
13324,ST London,Beauty,Makeup
13326,ST London,Beauty,Makeup
13327,ST London,Beauty,Makeup
13340,ST London,Beauty,Makeup
13342,ST London,Beauty,Makeup
13344,ST London,Beauty,Makeup
13345,ST London,Beauty,Makeup
13352,ST London,Beauty,Makeup
13353,ST London,Beauty,Makeup
13373,ST London,Beauty,Makeup
13383,ST London,Beauty,Makeup
13386,ST London,Beauty,Makeup
13388,ST London,Beauty,Makeup
13392,ST London,Beauty,Makeup
13393,ST London,Beauty,Makeup
13394,ST London,Beauty,Makeup
13395,ST London,Beauty,Makeup
13396,ST London,Beauty,Makeup
13397,ST London,Beauty,Makeup
13398,ST London,Beauty,Makeup
13400,ST London,Beauty,Makeup
13403,ST London,Beauty,Makeup
13407,ST London,Beauty,Makeup
13409,ST London,Beauty,Makeup
13413,ST London,Beauty,Makeup
13414,ST London,Beauty,Makeup
13419,ST London,Beauty,Makeup
13421,ST London,Beauty,Makeup
13422,ST London,Beauty,Makeup
13423,ST London,Beauty,Makeup
13424,ST London,Beauty,Makeup
13454,ST London,Beauty,Makeup
13455,ST London,Beauty,Makeup
13456,ST London,Beauty,Makeup
13474,ST London,Beauty,Makeup
13477,ST London,Beauty,Makeup
13813,ST London,Beauty,Makeup
13822,ST London,Beauty,Makeup
13823,ST London,Beauty,Makeup
13826,ST London,Beauty,Makeup
13827,ST London,Beauty,Makeup
13828,ST London,Beauty,Makeup
