sku,type,category_L1,category_L2,vendor,rank
swear03200203236,Shein Jewellery,Shein,Accessories,Bagallery,1
4.07E+12,Zeena,Beauty,Makeup,Elixir Marketing,2
swneck18210608232,Shein Jewellery,Shein,Accessories,Bagallery,3
MZ158,VYBE Bag,Vybe,Bags,VYBE,4
swneck18210604216,Shein Jewellery,Shein,Accessories,Bagallery,5
BW1076,Beauty Tools,Beauty,Beauty Tools,Beauty Tools,6
Bw1695,Beauty Tools,Beauty,Beauty Tools,Beauty Tools,7
69771901,Pond's,Beauty,Skincare,Unilever,8
swear18210330197,Shein Jewellery,Shein,Accessories,Bagallery,9
69778595,Glow & Lovely,Beauty,Skincare,Unilever,10
3.57E+12,Neutrogena,Beauty,Skincare,UDL,11
swbag24210302753,Shein Bags,Shein,Bags,Bagallery,12
3.00E+12,ST London,Beauty,Makeup,Bays International,13
4.01E+12,Remington,Beauty,Beauty Tools,Gilani,14
6.90E+12,Maybelline New York,Beauty,Makeup,L'Oreal CPD,15
swear18210309952,Shein Jewellery,Shein,Accessories,Bagallery,16
3.61E+12,L'Oreal Paris Haircare,Beauty,Haircare,L'Oreal CPD,17
6.90E+12,Nova,Beauty,Beauty Tools,Kamran Attari,18
swear18201203588,Shein Jewellery,Shein,Accessories,Bagallery,19
swneck18210310159,Shein Jewellery,Shein,Accessories,Bagallery,20
swneck18210105689,Shein Jewellery,Shein,Accessories,Bagallery,21
BW1077,Beauty Tools,Beauty,Beauty Tools,Beauty Tools,22
BMFMAY3600530941278,Maybelline New York,Beauty,Makeup,L'Oreal CPD,23
swear18200430113,Shein Jewellery,Shein,Accessories,Bagallery,24
3.61E+12,Rimmel,Beauty,Makeup,Brands Unlimited - CD,25
swbracele18200505348,Shein Jewellery,Shein,Accessories,Bagallery,26
swear18210115302,Shein Jewellery,Shein,Accessories,Bagallery,27
BSSCPD6923700977264,L'Oreal Paris Skincare,Beauty,Skincare,L'Oreal CPD,28
FT-0285in1HD,Home.Co Beauty tools,Fashion,Home.Co,Faiz Traders,29
sw2107129671103022,Shein Jewellery,Shein,Accessories,Bagallery,30
sw2107157712212365,Shein Bags,Shein,Bags,Bagallery,31
8.96E+12,Herbion,Beauty,Skincare,Herbion,32
6.92E+12,L'Oreal Paris Skincare,Beauty,Skincare,L'Oreal CPD,33
swear03200325522,Shein Jewellery,Shein,Accessories,Bagallery,34
6.00E+12,Dettol,Beauty,Health & Personal Care,Reckitt,35
BMLNYX800897142896,NYX Professional Makeup,Beauty,Makeup,L'Oreal CPD,36
8.99E+12,L'Oreal Paris Skincare,Beauty,Skincare,L'Oreal CPD,37
6.93E+12,Wokali,Beauty,Haircare,Usama Jawed,38
6.29E+12,Caresse,Beauty,Skincare,Stancos,39
BSSCPD6923700966701,L'Oreal Paris Skincare,Beauty,Skincare,L'Oreal CPD,40
6.00E+12,Veet,Beauty,Health & Personal Care,Reckitt,41
3.60E+12,L'Oreal Paris Makeup,Beauty,Makeup,L'Oreal CPD,42
3.57E+12,Johnson's,Beauty,Baby Care,UDL,43
8.96E+12,Plush Natural,Beauty,Skincare,Plush Natural,44
4.80E+12,Johnson's,Beauty,Baby Care,UDL,45
8.96E+12,Jade,Beauty,Skincare,Merchant ™,46
8.96E+12,Hemani Herbals,Beauty,Skincare,Hemani Herbals,47
BHMLOR3600523755974,L'Oreal Paris Haircare,Beauty,Haircare,L'Oreal CPD,48
